date,-notation-
1800,0.0
1801,0.0
1802,1.570807558555579e-06
1803,1.7065803742167657e-06
1804,1.6930988544392901e-06
1805,0.0
1806,1.655172790855826e-06
1807,3.517355043591557e-06
1808,9.441447983623673e-07
1809,8.909296470858573e-07
1810,3.0296557477289287e-06
1811,2.6801500050178364e-06
1812,4.269841695691997e-06
1813,3.7062518082115262e-06
1814,4.314471875439771e-06
1815,4.613462816896921e-06
1816,2.4995626735648386e-06
1817,1.0165070727683576e-05
1818,3.838011371561737e-06
1819,3.303808727872336e-06
1820,3.816478157621691e-06
1821,5.65169513256715e-06
1822,3.462375403816244e-06
1823,3.4090216897002575e-06
1824,6.416585273224113e-06
1825,3.1853526616941513e-06
1826,3.0752620895947163e-06
1827,6.6071568703657536e-06
1828,2.603322538297869e-06
1829,3.900726741353061e-06
1830,4.830282304964183e-06
1831,3.700569952473477e-06
1832,4.091422061281217e-06
1833,5.454962620353926e-06
1834,3.7196448267298287e-06
1835,3.4922804539550073e-06
1836,2.9948476480086407e-06
1837,4.67381399165308e-06
1838,3.84741105799967e-06
1839,3.7032462217719945e-06
1840,2.9686065458759017e-06
1841,2.516710671416632e-06
1842,2.856748168167833e-06
1843,3.275935397012354e-06
1844,2.2092744228278662e-06
1845,4.391059566945594e-06
1846,3.3095110195586674e-06
1847,3.732713188202109e-06
1848,3.320105211645402e-06
1849,3.7478880983798354e-06
1850,3.2538481612089073e-06
1851,3.437343439927157e-06
1852,2.974294004700164e-06
1853,4.000372138795504e-06
1854,3.8245234252708635e-06
1855,5.689267688352292e-06
1856,3.360613115001096e-06
1857,2.7568900642517443e-06
1858,2.4842052791209936e-06
1859,2.726607308572716e-06
1860,4.568037823937371e-06
1861,3.2271816430837802e-06
1862,3.2911929653465916e-06
1863,4.327134500117025e-06
1864,3.3377155995314884e-06
1865,4.234048364087072e-06
1866,3.965804452270138e-06
1867,3.366127546261373e-06
1868,2.9029054276241435e-06
1869,3.5082375540943055e-06
1870,4.0233671292635e-06
1871,4.728293432333948e-06
1872,3.88845949558032e-06
1873,6.328412462272778e-06
1874,5.281421271952824e-06
1875,4.637099077899482e-06
1876,5.610180524913624e-06
1877,4.325478308811377e-06
1878,5.125081027105433e-06
1879,5.1402391481189925e-06
1880,5.4515524447400776e-06
1881,5.68561115183503e-06
1882,4.256875645307736e-06
1883,4.7459845271002525e-06
1884,4.6258395916471696e-06
1885,4.573685589718297e-06
1886,7.0777734111724276e-06
1887,4.621309057190989e-06
1888,5.645721267943094e-06
1889,6.593795514939701e-06
1890,5.482438937566786e-06
1891,6.7504684713366055e-06
1892,6.8996027071725226e-06
1893,7.142140736454963e-06
1894,7.4875312258537296e-06
1895,4.584638388982306e-06
1896,6.223064492652489e-06
1897,5.5100747564173885e-06
1898,5.603580785156328e-06
1899,5.15606115655477e-06
1900,5.407075364499137e-06
1901,5.449650251396554e-06
1902,5.725687066994381e-06
1903,6.528973143641252e-06
