,alpha,color,label,size,xValue,yValue
0,0.5,blue,inconvenience,20,-0.3163213475399556,0.07083443043848979
1,0.5,blue,menace,20,-0.32812962032008214,-0.3366897484160967
2,0.5,blue,pregnancy,20,0.5726063530574843,-0.08098806297145789
3,0.5,blue,incidence,20,0.742092141144335,-0.10805564667811147
4,0.5,blue,prevalence,20,0.6581703362113824,-0.20971431126447226
5,0.5,blue,consequences,20,-0.11786876380798322,0.00011711954177325237
6,0.5,blue,chance,20,-0.17004150185142908,0.0013701882702973585
7,0.5,blue,possibility,20,-0.2165531224387976,0.08442806100897898
8,0.5,blue,lest,20,-0.4017117722248692,-0.32830834185491803
9,0.5,blue,perils,20,-0.3514237267930691,-0.18996684676882836
10,0.5,blue,impending,20,-0.34247891629909843,-0.28379830824299385
11,0.5,blue,prognosis,20,0.6833333815731107,-0.15204584464846424
12,0.5,blue,prevention,20,0.604062756120021,-0.15299350486114172
13,0.5,blue,apprehension,20,-0.34413398422811925,-0.31574112759919065
14,0.5,blue,dangers,20,-0.34029735665418204,-0.09510354924640373
15,0.5,blue,associated,20,0.6117524270871768,-0.15166686912635444
16,0.5,blue,morbidity,20,0.6695880575426859,-0.011378415004913869
17,0.5,blue,chances,20,-0.004918554812949494,0.1967383433773849
18,0.5,blue,calamity,20,-0.39863794373626404,-0.3359877131763757
19,0.5,blue,incurring,20,-0.2436155204103009,0.12302125189763195
20,0.5,blue,threat,20,-0.292364028422392,-0.0683695897475488
21,0.5,blue,feared,20,-0.38628246698164814,-0.20680527511904118
22,0.5,blue,avoid,20,-0.26389537553306935,0.1691438714470926
23,0.5,blue,expose,20,-0.25650321462346426,-0.09722644461560288
24,0.5,blue,cardiovascular,20,0.644504116508556,-0.10241516182356643
25,0.5,blue,peril,20,-0.4516456051930553,-0.19959102296229997
26,0.5,blue,evils,20,-0.33004656730661175,-0.2962478524389414
27,0.5,blue,imminent,20,-0.3600456967463046,-0.04500018262228078
28,0.5,blue,prospective,20,0.6066946334974288,-0.09991796000048582
29,0.5,blue,misfortune,20,-0.39409573057615616,-0.29819460358372546
30,0.5,blue,mortality,20,0.6690471082381033,-0.08222931318598432
31,0.5,blue,incur,20,-0.2817152083150413,0.1715382118295959
32,0.5,blue,hazard,20,-0.16074574017935067,0.11769043042646019
33,0.5,blue,progression,20,0.6562448347440949,-0.17638143080321309
34,0.5,blue,recurrence,20,0.5079208016371023,-0.1386696521730574
35,0.5,blue,apprehended,20,-0.31353959007187704,-0.2074727646047025
36,0.5,blue,risks,20,0.07783530061541151,0.2750473468580961
37,0.5,blue,complications,20,0.6640580603492131,-0.04969866954337667
38,0.5,blue,fearful,20,-0.39532148428695973,-0.3796610701435745
39,0.5,blue,fear,20,-0.37103049960140955,-0.23201114335487608
40,1.0,red,risk_2000,100,0.5557587098277943,0.1447250878652202
41,1.0,red,danger_2000,100,-0.4526857383839609,0.023099767785584098
42,1.0,red,risk_1850,100,-0.21884455002037348,0.4868223369069894
43,1.0,red,danger_1850,100,-0.3471080236061364,0.19011290962386354
44,1.0,red,1870,20,-0.24072315204901787,0.5127238923334717
45,1.0,red,1890,20,-0.23886781549343744,0.5074262186570581
46,1.0,red,1910,20,-0.20273643797453494,0.5319875454037757
47,1.0,red,1930,20,-0.15831596673618661,0.546212831351677
48,1.0,red,1950,20,-0.0752054605143117,0.5503051298980403
49,1.0,red,1970,20,0.2691978772008424,0.46021495091389686
50,1.0,red,1990,20,0.5749835883776567,0.2687705007466221
