,alpha,color,label,size,xValue,yValue,opacity
0,0.5,blue,seller,20,-0.469500798,-0.119652999,0.6
1,0.5,blue,defaults,20,-0.061989658,-0.286929373,0.6
2,0.5,blue,purchaser,20,-0.499908067,-0.102289422,0.6
3,0.5,blue,shareholder,20,-0.335086962,0.44449326,0.6
4,0.5,blue,buyer,20,-0.438080981,-0.132731359,0.6
5,0.5,blue,debtor,20,-0.486820593,-0.054191452,0.6
6,0.5,blue,holder,20,-0.439856313,0.043619095,0.6
7,0.5,blue,choose,20,0.612119149,0.148581299,0.6
8,0.5,blue,item,20,0.33275346,0.043105034,0.6
9,0.5,blue,default,20,0.134030545,-0.27104042,0.6
10,0.5,blue,cancel,20,0.27199329,-0.039715937,0.6
11,0.5,blue,lender,20,-0.43206151,-0.170224841,0.6
12,0.5,blue,assignee,20,-0.497614464,-0.144475253,0.6
13,0.5,blue,stockholder,20,-0.388878229,0.317948202,0.6
14,0.5,blue,automatically,20,0.321231242,0.033551116,0.6
15,0.5,blue,autocad,20,0.782290234,-0.086320432,0.6
16,0.5,blue,reset,20,0.743028324,-0.161883263,0.6
17,0.5,blue,lien,20,-0.440918911,-0.190984735,0.6
18,0.5,blue,mortgagor,20,-0.483218608,-0.302014315,0.6
19,0.5,blue,assign,20,0.246881213,-0.142418512,0.6
20,0.5,blue,shortcut,20,0.810290877,-0.099401045,0.6
21,0.5,blue,options,20,0.59415942,0.071487183,0.6
22,0.5,blue,alternatively,20,0.225809666,0.325932217,0.6
23,0.5,blue,creditors,20,-0.464343201,0.018275591,0.6
24,0.5,blue,dialog,20,0.802492515,-0.11523208,0.6
25,0.5,blue,select,20,0.78243254,-0.080916621,0.6
26,0.5,blue,vendor,20,-0.418790711,-0.248658162,0.6
27,0.5,blue,creditor,20,-0.51063541,-0.104100603,0.6
28,1,red,option_2000,100,0.247817006,0.185134757,1
29,1,red,option_1850,100,-0.190867587,0.292728039,1
30,1,red,1950,20,-0.299446666,0.353114027,1
31,1,red,1970,20,-0.289480055,0.359444809,1
32,1,red,1990,20,0.240169244,0.215766195,1
